,title,num_reviews,review_rating,num_languages,tags,num_tags,genres,num_genres,publisher
13038,LET IT DIE -(Special)10 Death Metals- 021,,,10,"['Action', 'Free to Play', 'Gore', 'Violent', 'Nudity', 'Sexual Content']",6.0,"['Action', 'Free to Play', 'GRASSHOPPER MANUFACTURE INC.']",3.0,GungHo Online Entertainment America
13039,Zaccaria Pinball - Red Show Table,,1 user reviews,,"['Free to Play', 'Casual', 'Simulation', 'Sports']",4.0,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,Magic Pixel Kft.
13040,Devil's Toy,12,Mixed,,"['Indie', 'Adventure', 'Casual', 'Horror', 'Atmospheric']",5.0,"['Adventure', 'Casual', 'Indie']",3.0,Blueplant Entertainment
13041,Bloons Monkey City - Castle City Walls,,,,"['Strategy', 'Action', 'Free to Play']",3.0,"['Action', 'Free to Play', 'Strategy']",3.0,Ninja Kiwi
13042,Zaccaria Pinball - Hot Wheels Table,,1 user reviews,,"['Free to Play', 'Casual', 'Simulation', 'Sports']",4.0,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,Magic Pixel Kft.
13043,Zaccaria Pinball - Wood's Queen Table,,3 user reviews,,"['Free to Play', 'Casual', 'Simulation', 'Sports']",4.0,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,Magic Pixel Kft.
13044,Shark Attack,2,No user reviews,,"['Action', 'Adventure', 'Strategy', 'Action RPG', 'Action-Adventure', 'Arcade', '3D Fighter', '3D Platformer', '3D', 'Bullet Hell', 'Indie', 'Racing', 'RPG', 'Atmospheric', 'Bullet Time', 'Singleplayer']",16.0,"['Action', 'Adventure', 'Indie', 'Racing', 'RPG', 'Strategy']",6.0,Enaayah Software Development and Services Private Limited
13045,Zaccaria Pinball - Lucky Fruit Table,,1 user reviews,,"['Free to Play', 'Casual', 'Simulation', 'Sports']",4.0,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,Magic Pixel Kft.
13046,DOA6 Witch Party Costume - Momiji,,No user reviews,10,"['Action', 'Gore', 'Violent', 'Nudity', 'Sexual Content']",5.0,['Action'],1.0,"KOEI TECMO GAMES CO., LTD."
13047,Toadled,,Very Positive,,"['Action', 'Indie', 'Casual', 'Clicker', 'Cute', 'Singleplayer', 'Great Soundtrack', 'Memes']",8.0,"['Action', 'Casual', 'Indie']",3.0,Giant Fox Studios
13048,Zaccaria Pinball - Aerobatics Table,,1 user reviews,,"['Free to Play', 'Casual', 'Simulation', 'Sports']",4.0,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,Magic Pixel Kft.
13049,Lost Gems,5,2 user reviews,7,"['Puzzle', 'Isometric', 'Top-Down', 'Experimental', 'Casual', 'Stylized', 'Tutorial', 'Indie', 'Fantasy', '3D', 'Dark Fantasy', 'Difficult', 'Hand-drawn', 'Strategy', 'Singleplayer', 'Exploration', 'Logic', 'Sokoban']",18.0,"['Casual', 'Indie']",2.0,pyx-games
